airline,service_type,year,month,aircraft_km,passengers,passenger_km,seat_km,freight_tonnes,mail_tonnes,total_tonne_km,available_tonne_km,passenger_load_factor,weight_load_factor
Air India,nonscheduled_domestic,2015,1,120.0,25905,15260.0,17609.0,0.0,0.0,1145.0,1694.0,86.66,67.591
Alliance Air,nonscheduled_domestic,2015,1,3.0,478,153.0,179.0,0.0,0.0,12.0,20.0,85.475,60.0
Jet Airways,nonscheduled_domestic,2015,1,20.0,2889,2669.0,3107.0,2.0,0.0,228.0,292.0,85.903,78.082
Jet Airways,nonscheduled_international,2015,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Costa,scheduled_domestic,2015,1,695.0,65179,51209.0,66947.0,224.17,0.0,5267.0,7050.0,76.492,74.709
Air India,scheduled_domestic,2015,1,10797.0,1104361,1074907.0,1300810.0,8711.0,1387.0,110573.0,148723.0,82.634,74.348
Air India Express,scheduled_domestic,2015,1,60.0,14633,9403.0,11163.0,0.0,0.0,984.65,1586.71,84.234,62.056
AirAsia India,scheduled_domestic,2015,1,501.0,81434,68778.0,90176.0,529.3,0.0,6422.5,13461.9,76.271,47.709
Alliance Air,scheduled_domestic,2015,1,286.0,19612,12072.0,17948.0,13.0,4.0,1099.0,1887.0,67.261,58.241
Go First,scheduled_domestic,2015,1,3830.0,552971,533961.0,674072.0,5067.0,0.0,53409.0,72578.0,79.214,73.588
IndiGo,scheduled_domestic,2015,1,15520.0,2276404,2378975.0,2793463.0,9801.0,899.0,227109.0,282457.0,85.162,80.405
Jet Airways,scheduled_domestic,2015,1,7990.0,1221962,1024836.0,1178518.0,6662.0,238.0,93057.0,123218.0,86.96,75.522
JetLite,scheduled_domestic,2015,1,1551.0,277588,216745.0,248087.0,1193.0,56.0,19071.0,24232.0,87.367,78.702
SpiceJet,scheduled_domestic,2015,1,4258.381,587198,533684.627,666828.835,3419.0,0.0,44070.295,58491.681,80.033,75.345
Vistara,scheduled_domestic,2015,1,206.0,14999,13843.0,30480.0,0.0,0.0,1038.0,2971.845,45.417,34.928
Air India,scheduled_international,2015,1,19810.0,538683,2409131.0,2977820.0,7763.0,211.0,282125.0,432139.0,80.903,65.286
Air India Express,scheduled_international,2015,1,3763.0,212181,576468.0,699914.0,0.0,0.0,48855.78,57873.64,82.363,84.418
IndiGo,scheduled_international,2015,1,2061.0,142324,319637.0,371023.0,933.0,0.0,30901.0,37515.0,86.15,82.37
Jet Airways,scheduled_international,2015,1,12420.0,685594,2327329.0,2585916.0,10454.0,78.0,245482.0,332478.0,90.0,73.834
SpiceJet,scheduled_international,2015,1,1082.96,80350,147585.664,190117.544,115.67564,0.0,11278.45047,16441.795,77.629,68.596
Air India,nonscheduled_domestic,2015,2,115.0,24648,14626.0,16757.0,0.0,0.0,1097.0,1631.0,87.283,67.259
Alliance Air,nonscheduled_domestic,2015,2,3.0,526,168.0,179.0,0.0,0.0,13.0,20.0,93.855,65.0
Jet Airways,nonscheduled_domestic,2015,2,25.0,2978,2722.0,3770.0,2.0,0.0,59.0,357.0,72.202,16.527
Jet Airways,nonscheduled_international,2015,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Costa,scheduled_domestic,2015,2,638.0,61717,47820.0,61398.0,262.0,0.0,4977.0,6455.0,77.885,77.103
Air India,scheduled_domestic,2015,2,9682.0,1010005,972342.0,1163372.0,7689.0,1514.0,100088.0,132529.0,83.58,75.522
Air India Express,scheduled_domestic,2015,2,60.0,12083,7728.0,11162.0,0.0,0.0,846.2399999999999,1503.21,69.235,56.296
AirAsia India,scheduled_domestic,2015,2,462.0,72278,64777.0,83205.0,555.4,0.0,6114.3,12421.3,77.852,49.224
Alliance Air,scheduled_domestic,2015,2,374.0,22047,12788.0,19506.0,13.0,4.0,1164.0,1896.0,65.559,61.392
Go First,scheduled_domestic,2015,2,3433.0,534795,518968.0,604177.0,5485.0,0.0,52519.0,65053.0,85.897,80.733
IndiGo,scheduled_domestic,2015,2,14591.0,2230645,2311979.0,2626290.0,10179.0,946.0,221648.0,265553.0,88.032,83.467
Jet Airways,scheduled_domestic,2015,2,7648.0,1186492,994733.0,1111317.0,6216.0,139.0,90197.0,114819.0,89.509,78.556
JetLite,scheduled_domestic,2015,2,1456.0,272590,209149.0,233236.0,1131.0,58.0,18426.0,23094.0,89.673,79.787
SpiceJet,scheduled_domestic,2015,2,3668.352,552726,490208.771,572857.667,3202.0,0.0,40577.457,50280.849,85.573,80.702
Vistara,scheduled_domestic,2015,2,373.0,33317,32325.0,55183.0,670.0,0.0,3128.499,5592.885,58.578,55.937
Air India,scheduled_international,2015,2,17829.0,463651,2041546.0,2686586.0,8123.0,212.0,245917.0,389382.0,75.99,63.156
Air India Express,scheduled_international,2015,2,3343.0,185319,503443.0,621869.0,0.0,0.0,44177.94,54356.87,80.956,81.274
IndiGo,scheduled_international,2015,2,1867.0,118979,258856.0,335987.0,1065.0,0.0,25758.0,33972.0,77.043,75.821
Jet Airways,scheduled_international,2015,2,10694.0,585636,1974615.0,2239143.0,9644.0,88.0,214152.0,290690.0,88.186,73.67
SpiceJet,scheduled_international,2015,2,985.32,73785,130708.0,172835.124,154.06,0.0,10081.63018,14942.116,75.626,67.471
Air India,nonscheduled_domestic,2015,3,145.0,30102,18690.0,21975.0,0.0,0.0,1402.0,2086.0,85.051,67.21
Alliance Air,nonscheduled_domestic,2015,3,3.0,438,140.0,179.0,0.0,0.0,11.0,20.0,78.212,55.0
Jet Airways,nonscheduled_domestic,2015,3,26.0,3771,3061.0,3837.0,4.0,0.0,40.0,180.0,79.776,22.222
Jet Airways,nonscheduled_international,2015,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Air Costa,scheduled_domestic,2015,3,700.0,61790,46619.0,67337.0,265.0,0.0,4896.0,7083.0,69.232,69.123
Air India,scheduled_domestic,2015,3,10689.0,996246,956765.0,1290697.0,8526.0,1545.0,99375.0,145869.0,74.128,68.126
Air India Express,scheduled_domestic,2015,3,45.0,8430,4697.0,8344.0,0.0,0.0,596.2,1314.56,56.292,45.354
AirAsia India,scheduled_domestic,2015,3,485.0,68790,62519.0,87226.0,535.1,0.0,5876.4,13021.5,71.675,45.128
Alliance Air,scheduled_domestic,2015,3,479.0,25651,16810.0,26000.0,15.0,4.0,1530.0,2628.0,64.654,58.219
Go First,scheduled_domestic,2015,3,3781.0,550969,532427.0,665383.0,4572.0,0.0,52990.0,71642.0,80.018,73.965
IndiGo,scheduled_domestic,2015,3,16829.0,2286128,2332457.0,3028942.0,9335.0,965.0,222584.0,306280.0,77.006,72.673
Jet Airways,scheduled_domestic,2015,3,8650.0,1296682,1089823.0,1258799.0,6916.0,138.0,98665.0,129790.0,86.576,76.019
JetLite,scheduled_domestic,2015,3,1612.0,294766,226377.0,257941.0,1268.0,46.0,19982.0,25612.0,87.763,78.018
SpiceJet,scheduled_domestic,2015,3,4163.891,608801,539460.694,647017.82,3687.0,0.0,44771.976,56821.053,83.376,78.795
Vistara,scheduled_domestic,2015,3,732.0,52603,58080.0,108297.0,1287.0,0.0,5776.7,10976.1,53.63,52.63
Air India,scheduled_international,2015,3,19471.0,496476,2187860.0,2921097.0,9258.0,242.0,266962.0,422956.0,74.899,63.118
Air India Express,scheduled_international,2015,3,3747.0,196665,535718.0,696963.0,0.0,0.0,50255.41,64753.19,76.865,77.611
IndiGo,scheduled_international,2015,3,2060.0,130594,285881.0,370813.0,1156.0,0.0,28488.0,37493.0,77.096,75.982
Jet Airways,scheduled_international,2015,3,11790.0,627406,2118369.0,2484258.0,11019.0,100.01,231955.0,320776.0,85.272,72.311
SpiceJet,scheduled_international,2015,3,1088.616,82544,146132.119,190905.192,195.573,0.0,11320.13,16506.673,76.547,68.579
Air India,nonscheduled_domestic,2015,4,103.0,19320,12436.0,15496.0,0.0,0.0,933.0,1434.0,80.253,65.063
Alliance Air,nonscheduled_domestic,2015,4,3.0,637,204.0,224.0,0.0,0.0,15.0,26.0,91.071,57.692
Jet Airways,nonscheduled_domestic,2015,4,15.0,2724,1752.0,2060.0,2.0,0.0,32.0,172.0,85.049,18.605
Jet Airways,nonscheduled_international,2015,4,1.0,84,61.0,123.0,0.0,0.0,0.0,13.0,49.593,0.0
Air Costa,scheduled_domestic,2015,4,690.0,66134,51417.0,66898.0,238.0,0.0,5297.0,7028.0,76.859,75.37
Air India,scheduled_domestic,2015,4,10161.0,999526,970285.0,1232577.0,7906.0,1555.0,99813.0,139800.0,78.72,71.397
Air India Express,scheduled_domestic,2015,4,54.0,13226,7467.0,10017.0,0.0,0.0,854.6899999999999,1415.69,74.543,60.373
